review_id,order_id,product_id,rating,review_text,review_time,duygu,guven,yildiz,compound
211,664,504,4,Good value for money!,2020-03-29,positive,0.822,5,0.68
212,680,1026,4,Good value for money!,2021-07-27,positive,0.822,5,0.68
213,686,585,2,Not great quality.,2023-12-31,negative,0.754,1,-0.5096
214,686,884,5,"Excellent product, highly recommend!",2025-01-29,positive,0.861,5,0.7773
215,686,800,4,Good value for money!,2024-10-09,positive,0.822,5,0.68
216,690,908,5,"Excellent product, highly recommend!",2024-06-21,positive,0.861,5,0.7773
217,690,1011,1,"Very disappointed, would not buy again.",2024-01-25,negative,0.76,1,-0.5256
218,691,809,3,Okay overall.,2022-03-17,neutral,0.641,3,0.2263
219,692,208,3,Okay overall.,2020-06-18,neutral,0.641,3,0.2263
220,692,114,4,Good value for money!,2025-03-31,positive,0.822,5,0.68
221,695,353,5,"Excellent product, highly recommend!",2025-05-30,positive,0.861,5,0.7773
222,701,485,3,Okay overall.,2020-07-31,neutral,0.641,3,0.2263
223,704,998,3,Okay overall.,2024-12-25,neutral,0.641,3,0.2263
224,709,1115,3,Okay overall.,2024-12-24,neutral,0.641,3,0.2263
225,709,657,5,"Excellent product, highly recommend!",2022-11-14,positive,0.861,5,0.7773
226,729,460,1,"Very disappointed, would not buy again.",2022-03-06,negative,0.76,1,-0.5256
227,738,377,5,"Excellent product, highly recommend!",2022-11-20,positive,0.861,5,0.7773
228,753,827,4,Good value for money!,2023-02-27,positive,0.822,5,0.68
229,760,921,5,"Excellent product, highly recommend!",2022-07-27,positive,0.861,5,0.7773
230,764,36,4,Good value for money!,2020-12-17,positive,0.822,5,0.68
231,764,296,4,Good value for money!,2021-03-07,positive,0.822,5,0.68
232,772,454,4,Good value for money!,2025-06-22,positive,0.822,5,0.68
233,772,654,5,"Excellent product, highly recommend!",2024-08-06,positive,0.861,5,0.7773
234,772,557,2,Not great quality.,2021-09-03,negative,0.754,1,-0.5096
235,772,532,5,"Excellent product, highly recommend!",2020-12-18,positive,0.861,5,0.7773
236,785,1080,4,Good value for money!,2024-12-12,positive,0.822,5,0.68
237,804,459,5,"Excellent product, highly recommend!",2025-10-26,positive,0.861,5,0.7773
238,805,220,2,Not great quality.,2025-05-21,negative,0.754,1,-0.5096
239,806,385,5,"Excellent product, highly recommend!",2024-03-16,positive,0.861,5,0.7773
240,806,1111,5,"Excellent product, highly recommend!",2024-01-19,positive,0.861,5,0.7773
241,806,406,5,"Excellent product, highly recommend!",2023-09-12,positive,0.861,5,0.7773
242,806,573,5,"Excellent product, highly recommend!",2020-04-18,positive,0.861,5,0.7773
243,808,331,3,Okay overall.,2024-11-11,neutral,0.641,3,0.2263
244,815,268,5,"Excellent product, highly recommend!",2020-12-28,positive,0.861,5,0.7773
245,817,319,2,Not great quality.,2024-01-21,negative,0.754,1,-0.5096
246,841,1115,5,"Excellent product, highly recommend!",2023-10-05,positive,0.861,5,0.7773
247,845,55,3,Okay overall.,2024-04-06,neutral,0.641,3,0.2263
248,845,228,5,"Excellent product, highly recommend!",2022-02-14,positive,0.861,5,0.7773
249,845,981,4,Good value for money!,2020-07-07,positive,0.822,5,0.68
250,846,281,2,Not great quality.,2025-01-29,negative,0.754,1,-0.5096
251,846,338,5,"Excellent product, highly recommend!",2025-09-08,positive,0.861,5,0.7773
252,857,107,5,"Excellent product, highly recommend!",2020-03-28,positive,0.861,5,0.7773
253,861,454,4,Good value for money!,2020-09-28,positive,0.822,5,0.68
254,875,910,5,"Excellent product, highly recommend!",2022-06-28,positive,0.861,5,0.7773
255,879,1154,4,Good value for money!,2021-05-11,positive,0.822,5,0.68
256,887,1148,4,Good value for money!,2023-01-08,positive,0.822,5,0.68
257,887,1086,5,"Excellent product, highly recommend!",2020-03-18,positive,0.861,5,0.7773
258,892,1105,5,"Excellent product, highly recommend!",2024-05-25,positive,0.861,5,0.7773
259,892,1176,1,"Very disappointed, would not buy again.",2022-07-14,negative,0.76,1,-0.5256
260,892,581,4,Good value for money!,2025-07-24,positive,0.822,5,0.68
261,896,392,4,Good value for money!,2022-11-14,positive,0.822,5,0.68
262,896,759,5,"Excellent product, highly recommend!",2025-09-13,positive,0.861,5,0.7773
263,898,1175,4,Good value for money!,2023-10-05,positive,0.822,5,0.68
264,900,27,4,Good value for money!,2020-01-08,positive,0.822,5,0.68
265,900,1014,5,"Excellent product, highly recommend!",2024-10-06,positive,0.861,5,0.7773
266,913,340,4,Good value for money!,2020-02-22,positive,0.822,5,0.68
267,913,271,4,Good value for money!,2024-12-20,positive,0.822,5,0.68
268,913,291,5,"Excellent product, highly recommend!",2020-02-10,positive,0.861,5,0.7773
269,918,223,4,Good value for money!,2023-04-15,positive,0.822,5,0.68
270,918,606,4,Good value for money!,2023-01-10,positive,0.822,5,0.68
271,918,297,5,"Excellent product, highly recommend!",2020-09-24,positive,0.861,5,0.7773
272,920,671,4,Good value for money!,2022-09-27,positive,0.822,5,0.68
273,920,591,3,Okay overall.,2025-05-26,neutral,0.641,3,0.2263
274,920,1091,5,"Excellent product, highly recommend!",2023-04-19,positive,0.861,5,0.7773
275,939,418,3,Okay overall.,2020-09-04,neutral,0.641,3,0.2263
276,939,493,4,Good value for money!,2024-01-24,positive,0.822,5,0.68
277,941,457,4,Good value for money!,2021-05-05,positive,0.822,5,0.68
278,941,482,4,Good value for money!,2022-02-28,positive,0.822,5,0.68
279,952,367,4,Good value for money!,2024-01-02,positive,0.822,5,0.68
280,953,414,4,Good value for money!,2025-01-09,positive,0.822,5,0.68
281,955,483,3,Okay overall.,2025-06-07,neutral,0.641,3,0.2263
282,955,434,5,"Excellent product, highly recommend!",2022-10-02,positive,0.861,5,0.7773
283,961,387,4,Good value for money!,2025-09-21,positive,0.822,5,0.68
284,961,826,4,Good value for money!,2020-09-10,positive,0.822,5,0.68
285,961,725,4,Good value for money!,2022-09-20,positive,0.822,5,0.68
286,963,103,4,Good value for money!,2022-10-20,positive,0.822,5,0.68
287,965,976,5,"Excellent product, highly recommend!",2023-04-17,positive,0.861,5,0.7773
288,965,553,3,Okay overall.,2023-12-01,neutral,0.641,3,0.2263
289,966,744,5,"Excellent product, highly recommend!",2025-06-13,positive,0.861,5,0.7773
290,971,172,5,"Excellent product, highly recommend!",2020-03-21,positive,0.861,5,0.7773
291,972,1180,4,Good value for money!,2021-06-25,positive,0.822,5,0.68
292,972,1052,5,"Excellent product, highly recommend!",2022-05-15,positive,0.861,5,0.7773
293,972,1029,5,"Excellent product, highly recommend!",2024-07-22,positive,0.861,5,0.7773
294,972,1173,4,Good value for money!,2025-03-25,positive,0.822,5,0.68
295,988,708,4,Good value for money!,2022-11-06,positive,0.822,5,0.68
296,992,977,4,Good value for money!,2024-08-10,positive,0.822,5,0.68
297,996,92,2,Not great quality.,2023-03-22,negative,0.754,1,-0.5096
298,998,1116,4,Good value for money!,2025-07-28,positive,0.822,5,0.68
299,1006,980,4,Good value for money!,2022-05-21,positive,0.822,5,0.68
300,1006,873,5,"Excellent product, highly recommend!",2025-08-05,positive,0.861,5,0.7773
301,1007,1150,5,"Excellent product, highly recommend!",2025-06-04,positive,0.861,5,0.7773
302,1008,1108,2,Not great quality.,2025-03-29,negative,0.754,1,-0.5096
303,1021,873,3,Okay overall.,2021-04-26,neutral,0.641,3,0.2263
304,1021,920,3,Okay overall.,2022-10-12,neutral,0.641,3,0.2263
305,1028,776,3,Okay overall.,2022-06-07,neutral,0.641,3,0.2263
306,1028,842,3,Okay overall.,2025-02-06,neutral,0.641,3,0.2263
307,1028,837,5,"Excellent product, highly recommend!",2021-12-04,positive,0.861,5,0.7773
308,1029,1051,5,"Excellent product, highly recommend!",2021-09-26,positive,0.861,5,0.7773
309,1038,428,5,"Excellent product, highly recommend!",2020-09-06,positive,0.861,5,0.7773
310,1038,1194,4,Good value for money!,2020-11-28,positive,0.822,5,0.68
311,1038,769,5,"Excellent product, highly recommend!",2025-04-19,positive,0.861,5,0.7773
312,1046,901,3,Okay overall.,2022-05-01,neutral,0.641,3,0.2263
313,1046,1152,3,Okay overall.,2021-04-22,neutral,0.641,3,0.2263
314,1046,936,4,Good value for money!,2023-03-15,positive,0.822,5,0.68
315,1048,522,4,Good value for money!,2020-10-09,positive,0.822,5,0.68
316,1054,983,4,Good value for money!,2021-02-19,positive,0.822,5,0.68
317,1055,1007,5,"Excellent product, highly recommend!",2022-08-13,positive,0.861,5,0.7773
318,1060,27,4,Good value for money!,2023-01-09,positive,0.822,5,0.68
319,1061,979,3,Okay overall.,2025-07-25,neutral,0.641,3,0.2263
320,1066,483,4,Good value for money!,2021-05-29,positive,0.822,5,0.68
321,1066,416,4,Good value for money!,2021-08-24,positive,0.822,5,0.68
322,1066,866,4,Good value for money!,2020-11-20,positive,0.822,5,0.68
323,1066,464,5,"Excellent product, highly recommend!",2022-07-16,positive,0.861,5,0.7773
324,1069,442,4,Good value for money!,2025-07-03,positive,0.822,5,0.68
325,1078,1043,5,"Excellent product, highly recommend!",2022-10-21,positive,0.861,5,0.7773
326,1080,334,4,Good value for money!,2023-03-23,positive,0.822,5,0.68
327,1081,477,2,Not great quality.,2024-01-27,negative,0.754,1,-0.5096
328,1083,696,4,Good value for money!,2024-12-22,positive,0.822,5,0.68
329,1087,937,5,"Excellent product, highly recommend!",2020-03-25,positive,0.861,5,0.7773
330,1097,909,4,Good value for money!,2020-12-12,positive,0.822,5,0.68
331,1097,56,4,Good value for money!,2020-01-24,positive,0.822,5,0.68
332,1097,509,3,Okay overall.,2024-06-29,neutral,0.641,3,0.2263
333,1098,374,3,Okay overall.,2025-10-26,neutral,0.641,3,0.2263
334,1098,417,4,Good value for money!,2020-01-05,positive,0.822,5,0.68
335,1098,504,4,Good value for money!,2020-10-25,positive,0.822,5,0.68
336,1101,847,4,Good value for money!,2022-02-15,positive,0.822,5,0.68
337,1101,1173,3,Okay overall.,2025-08-10,neutral,0.641,3,0.2263
338,1129,916,4,Good value for money!,2020-07-27,positive,0.822,5,0.68
339,1139,231,4,Good value for money!,2020-02-07,positive,0.822,5,0.68
340,1139,203,5,"Excellent product, highly recommend!",2023-12-12,positive,0.861,5,0.7773
341,1143,1033,4,Good value for money!,2023-07-05,positive,0.822,5,0.68
342,1143,1105,4,Good value for money!,2021-04-08,positive,0.822,5,0.68
343,1143,571,4,Good value for money!,2021-12-17,positive,0.822,5,0.68
344,1147,824,5,"Excellent product, highly recommend!",2024-04-08,positive,0.861,5,0.7773
345,1147,838,4,Good value for money!,2023-02-16,positive,0.822,5,0.68
346,1157,777,4,Good value for money!,2024-06-06,positive,0.822,5,0.68
347,1157,782,4,Good value for money!,2020-09-16,positive,0.822,5,0.68
348,1157,771,2,Not great quality.,2023-04-01,negative,0.754,1,-0.5096
349,1157,698,5,"Excellent product, highly recommend!",2024-05-21,positive,0.861,5,0.7773
350,1167,103,5,"Excellent product, highly recommend!",2025-06-19,positive,0.861,5,0.7773
351,1167,69,5,"Excellent product, highly recommend!",2021-05-31,positive,0.861,5,0.7773
352,1167,107,5,"Excellent product, highly recommend!",2024-05-11,positive,0.861,5,0.7773
353,1169,778,4,Good value for money!,2021-09-25,positive,0.822,5,0.68
354,1169,220,5,"Excellent product, highly recommend!",2023-06-12,positive,0.861,5,0.7773
355,1171,602,5,"Excellent product, highly recommend!",2020-07-20,positive,0.861,5,0.7773
356,1171,1153,4,Good value for money!,2023-12-30,positive,0.822,5,0.68
357,1171,953,3,Okay overall.,2021-08-28,neutral,0.641,3,0.2263
